'date','station','tair','twet','rh','tdew'
'2012-10-07 12:00:00',22719,14.4,'''"13.1"''','''"85"''','''"11.9"'''
'2012-10-08 12:00:00',22719,16,'''"15.4"''','''"93"''','''"14.9"'''
'2012-10-09 12:00:00',22719,18.4,'''"13.6"''','''"55"''','''"9.2"'''
'2012-10-10 12:00:00',22719,17.6,'''"14"''','''"65"''','''"11"'''
'2012-10-11 12:00:00',22719,17.5,'''"14.1"''','''"67"''','''"11.3"'''
'2012-10-12 12:00:00',22719,18.7,'''"14.3"''','''"59"''','''"10.5"'''
'2012-10-13 12:00:00',22719,15.2,'''"13.9"''','''"86"''','''"12.9"'''
'2012-10-14 12:00:00',22719,14.6,'''"11.8"''','''"70"''','''"9.2"'''
'2012-10-15 12:00:00',22719,14.6,'''"11.7"''','''"69"''','''"9"'''
'2012-10-16 12:00:00',22719,15.3,'''"11.8"''','''"63"''','''"8.3"'''
'2012-10-17 12:00:00',22719,18.9,'''"14.8"''','''"62"''','''"11.5"'''
'2012-10-18 12:00:00',22719,16.9,'''"13.4"''','''"65"''','''"10.3"'''
'2012-10-19 12:00:00',22719,14.4,'''"11.1"''','''"64"''','''"7.7"'''
'2012-10-20 12:00:00',22719,16.1,'''"12.1"''','''"60"''','''"8.4"'''
'2012-10-21 12:00:00',22719,15.9,'''"15.3"''','''"93"''','''"14.8"'''
'2012-10-22 12:00:00',22719,18.4,'''"15"''','''"68"''','''"12.4"'''
'2012-10-23 12:00:00',22719,11.8,'''"10.3"''','''"82"''','''"8.8"'''
'2012-10-24 12:00:00',22719,16.6,'''"9.4"''','''"32"''','''"-0.1"'''
'2012-10-25 12:00:00',22719,15.7,'''"11.6"''','''"58"''','''"7.5"'''
'2012-10-26 12:00:00',22719,18.4,'''"15"''','''"68"''','''"12.4"'''
'2012-10-27 12:00:00',22719,19.4,'''"15.1"''','''"61"''','''"11.7"'''
'2012-10-28 12:00:00',22719,18.2,'''"14.9"''','''"68"''','''"12.2"'''
'2012-10-29 12:00:00',22719,14.8,'''"14.4"''','''"95"''','''"14"'''
'2012-10-30 12:00:00',22719,20.1,'''"16.3"''','''"66"''','''"13.6"'''
'2012-10-31 12:00:00',22719,16.8,'''"14.1"''','''"73"''','''"11.9"'''
'2012-11-01 12:00:00',22719,18.5,'''"15"''','''"67"''','''"12.3"'''
'2012-11-02 12:00:00',22719,19.1,'''"14.9"''','''"61"''','''"11.4"'''
'2012-11-03 12:00:00',22719,17.5,'''"16.2"''','''"87"''','''"15.3"'''
'2012-11-04 12:00:00',22719,14.8,'''"10.6"''','''"56"''','''"6.1"'''
'2012-11-05 12:00:00',22719,16.7,'''"12.4"''','''"58"''','''"8.4"'''
'2012-11-06 12:00:00',22719,16.4,'''"12.4"''','''"60"''','''"8.6"'''
'2012-11-07 12:00:00',22719,14.7,'''"11.6"''','''"67"''','''"8.7"'''
'2012-11-08 12:00:00',22719,17.5,'''"12.6"''','''"53"''','''"7.8"'''
'2012-11-09 12:00:00',22719,18.4,'''"13.8"''','''"57"''','''"9.7"'''
'2012-11-10 12:00:00',22719,17.6,'''"14.2"''','''"67"''','''"11.4"'''
'2012-11-11 12:00:00',22719,18.3,'''"14.6"''','''"65"''','''"11.6"'''
'2012-11-12 12:00:00',22719,17.4,'''"13.9"''','''"66"''','''"11"'''
'2012-11-13 12:00:00',22719,18.3,'''"14.8"''','''"67"''','''"12.1"'''
'2012-11-14 12:00:00',22719,15.2,'''"12.3"''','''"69"''','''"9.6"'''
'2012-11-15 12:00:00',22719,18.3,'''"14.8"''','''"67"''','''"12.1"'''
'2012-11-16 12:00:00',22719,17,'''"13.6"''','''"66"''','''"10.6"'''
'2012-11-17 12:00:00',22719,16.2,'''"15.6"''','''"94"''','''"15.2"'''
'2012-11-18 12:00:00',22719,16.8,'''"13.2"''','''"64"''','''"10"'''
'2012-11-19 12:00:00',22719,18.2,'''"13.3"''','''"54"''','''"8.8"'''
'2012-11-20 12:00:00',22719,19.4,'''"13.7"''','''"49"''','''"8.4"'''
'2012-11-21 12:00:00',22719,20.3,'''"15.2"''','''"55"''','''"11"'''
'2012-11-22 12:00:00',22719,20.7,'''"14.9"''','''"50"''','''"9.9"'''
'2012-11-23 12:00:00',22719,20.6,'''"14.6"''','''"49"''','''"9.5"'''
'2012-11-24 12:00:00',22719,18.6,'''"15"''','''"66"''','''"12.1"'''
'2012-11-25 12:00:00',22719,19.1,'''"15.6"''','''"67"''','''"12.8"'''
'2012-11-26 12:00:00',22719,20.1,'''"17"''','''"72"''','''"14.9"'''
'2012-11-27 12:00:00',22719,18.6,'''"15.2"''','''"68"''','''"12.6"'''
'2012-11-28 12:00:00',22719,19.9,'''"17.1"''','''"74"''','''"15.1"'''
'2012-11-29 12:00:00',22719,15.5,'''"15"''','''"94"''','''"14.5"'''
'2012-11-30 12:00:00',22719,16.6,'''"12.8"''','''"62"''','''"9.3"'''
'2012-12-01 12:00:00',22719,18.5,'''"14.6"''','''"63"''','''"11.3"'''
'2012-12-02 12:00:00',22719,18.1,'''"15.5"''','''"75"''','''"13.6"'''
'2012-12-03 12:00:00',22719,19.3,'''"16.8"''','''"76"''','''"15"'''
'2012-12-04 12:00:00',22719,19.9,'''"15.6"''','''"61"''','''"12.2"'''
'2012-12-05 12:00:00',22719,18.8,'''"18.2"''','''"94"''','''"17.8"'''
'2012-12-06 12:00:00',22719,19.1,'''"18.6"''','''"95"''','''"18.3"'''
'2012-12-07 12:00:00',22719,16.3,'''"13.9"''','''"75"''','''"11.9"'''
'2012-12-08 12:00:00',22719,19.3,'''"15.1"''','''"62"''','''"11.8"'''
'2012-12-09 12:00:00',22719,19.5,'''"14.4"''','''"54"''','''"10"'''
'2012-12-10 12:00:00',22719,20,'''"15.3"''','''"58"''','''"11.5"'''
'2012-12-11 12:00:00',22719,18,'''"14.8"''','''"69"''','''"12.3"'''
'2012-12-12 12:00:00',22719,21.8,'''"16.2"''','''"53"''','''"11.8"'''
'2012-12-13 12:00:00',22719,22.3,'''"16.4"''','''"52"''','''"12"'''
'2012-12-14 12:00:00',22719,20.5,'''"16.1"''','''"61"''','''"12.7"'''
'2012-12-15 12:00:00',22719,22.8,'''"17.8"''','''"59"''','''"14.4"'''
'2012-12-16 12:00:00',22719,22.4,'''"17.3"''','''"58"''','''"13.8"'''
'2012-12-17 12:00:00',22719,20.6,'''"18.6"''','''"82"''','''"17.4"'''
'2012-12-18 12:00:00',22719,22.5,'''"19.2"''','''"72"''','''"17.2"'''
'2012-12-19 12:00:00',22719,23,'''"20.3"''','''"77"''','''"18.8"'''
'2012-12-20 12:00:00',22719,23.8,'''"19.7"''','''"67"''','''"17.3"'''
'2012-12-21 12:00:00',22719,23.4,'''"19.6"''','''"69"''','''"17.4"'''
'2012-12-22 12:00:00',22719,24,'''"19.3"''','''"62"''','''"16.3"'''
'2012-12-23 12:00:00',22719,23.2,'''"19.2"''','''"67"''','''"16.8"'''
'2012-12-24 12:00:00',22719,24.5,'''"21"''','''"72"''','''"19.1"'''
'2012-12-25 12:00:00',22719,20.7,'''"19.8"''','''"92"''','''"19.4"'''
'2012-12-26 12:00:00',22719,21.3,'''"20"''','''"88"''','''"19.2"'''
'2012-12-27 12:00:00',22719,21.3,'''"19.6"''','''"85"''','''"18.7"'''
'2012-12-28 12:00:00',22719,22.4,'''"19.5"''','''"75"''','''"17.8"'''
'2012-12-29 12:00:00',22719,25,'''"20"''','''"61"''','''"17"'''
'2012-12-30 12:00:00',22719,23.6,'''"20.5"''','''"74"''','''"18.7"'''
'2012-12-31 12:00:00',22719,20.3,'''"15.8"''','''"60"''','''"12.3"'''
'2013-01-01 12:00:00',22719,21.9,'''"16.4"''','''"54"''','''"12.2"'''
'2013-01-02 12:00:00',22719,23.8,'''"16.8"''','''"46"''','''"11.5"'''
'2013-01-03 12:00:00',22719,16.8,'''"15.1"''','''"83"''','''"13.9"'''
'2013-01-04 12:00:00',22719,19.8,'''"14.9"''','''"56"''','''"10.8"'''
'2013-01-05 12:00:00',22719,21.8,'''"15.4"''','''"47"''','''"10"'''
'2013-01-06 12:00:00',22719,24.6,'''"17.5"''','''"46"''','''"12.2"'''
'2013-01-07 12:00:00',22719,20.6,'''"17.8"''','''"75"''','''"16"'''
'2013-01-08 12:00:00',22719,21.4,'''"17.6"''','''"67"''','''"15"'''
'2013-01-09 12:00:00',22719,24.5,'''"19.1"''','''"58"''','''"15.7"'''
'2013-01-10 12:00:00',22719,24.3,'''"18.8"''','''"57"''','''"15.2"'''
'2013-01-11 12:00:00',22719,25.9,'''"19.7"''','''"54"''','''"15.9"'''
'2013-01-12 12:00:00',22719,24.2,'''"20.9"''','''"73"''','''"19.1"'''
'2013-01-13 12:00:00',22719,25.5,'''"20.8"''','''"64"''','''"18.2"'''
'2013-01-14 12:00:00',22719,22.6,'''"20.5"''','''"82"''','''"19.4"'''
'2013-01-15 12:00:00',22719,21.9,'''"17.7"''','''"64"''','''"14.8"'''
'2013-01-16 12:00:00',22719,21,'''"16.8"''','''"63"''','''"13.7"'''
'2013-01-17 12:00:00',22719,21.3,'''"16.8"''','''"61"''','''"13.5"'''
'2013-01-18 12:00:00',22719,20.1,'''"14.7"''','''"53"''','''"10.3"'''
'2013-01-19 12:00:00',22719,20.9,'''"16.4"''','''"61"''','''"13.1"'''
'2013-01-20 12:00:00',22719,21,'''"17.8"''','''"72"''','''"15.8"'''
'2013-01-21 12:00:00',22719,21.3,'''"16.9"''','''"62"''','''"13.7"'''
'2013-01-22 12:00:00',22719,24,'''"17.9"''','''"52"''','''"13.6"'''
'2013-01-23 12:00:00',22719,23.9,'''"17.8"''','''"52"''','''"13.5"'''
'2013-01-24 12:00:00',22719,24.5,'''"18"''','''"50"''','''"13.4"'''
'2013-01-25 12:00:00',22719,25.7,'''"18.3"''','''"46"''','''"13.2"'''
'2013-01-26 12:00:00',22719,21.8,'''"15.4"''','''"47"''','''"10"'''
'2013-01-27 12:00:00',22719,22.5,'''"15.4"''','''"43"''','''"9.3"'''
'2013-01-28 12:00:00',22719,22.8,'''"16.2"''','''"47"''','''"10.9"'''
'2013-01-29 12:00:00',22719,23.3,'''"17"''','''"50"''','''"12.3"'''
'2013-01-30 12:00:00',22719,22.9,'''"16.4"''','''"48"''','''"11.3"'''
'2013-01-31 12:00:00',22719,23.6,'''"17"''','''"48"''','''"12"'''
'2013-02-01 12:00:00',22719,24.4,'''"16.9"''','''"43"''','''"11"'''
'2013-02-02 12:00:00',22719,24.5,'''"18.8"''','''"56"''','''"15.2"'''
'2013-02-03 12:00:00',22719,23.8,'''"19.2"''','''"63"''','''"16.4"'''
'2013-02-04 12:00:00',22719,21.9,'''"20.5"''','''"87"''','''"19.7"'''
'2013-02-05 12:00:00',22719,20.2,'''"15.7"''','''"60"''','''"12.2"'''
'2013-02-06 12:00:00',22719,20.1,'''"12.3"''','''"34"''','''"3.8"'''
'2013-02-07 12:00:00',22719,21.9,'''"15.7"''','''"49"''','''"10.7"'''
'2013-02-08 12:00:00',22719,23.7,'''"18.6"''','''"59"''','''"15.2"'''
'2013-02-09 12:00:00',22719,21.6,'''"16.8"''','''"59"''','''"13.3"'''
'2013-02-10 12:00:00',22719,21.9,'''"16.4"''','''"54"''','''"12.2"'''
'2013-02-11 12:00:00',22719,24.2,'''"18.3"''','''"54"''','''"14.3"'''
'2013-02-12 12:00:00',22719,23.5,'''"18.4"''','''"59"''','''"15"'''
'2013-02-13 12:00:00',22719,21.5,'''"18.9"''','''"77"''','''"17.3"'''
'2013-02-14 12:00:00',22719,21,'''"15.4"''','''"52"''','''"10.8"'''
'2013-02-15 12:00:00',22719,21.8,'''"17.5"''','''"63"''','''"14.5"'''
'2013-02-16 12:00:00',22719,21.5,'''"16.9"''','''"61"''','''"13.7"'''
'2013-02-17 12:00:00',22719,22.4,'''"18.2"''','''"65"''','''"15.5"'''
'2013-02-18 12:00:00',22719,24.3,'''"18.7"''','''"56"''','''"15"'''
'2013-02-19 12:00:00',22719,23.6,'''"18.5"''','''"59"''','''"15.1"'''
'2013-02-20 12:00:00',22719,24.1,'''"17.1"''','''"46"''','''"11.8"'''
'2013-02-21 12:00:00',22719,23,'''"19"''','''"67"''','''"16.6"'''
'2013-02-22 12:00:00',22719,24.5,'''"18.3"''','''"52"''','''"14"'''
'2013-02-23 12:00:00',22719,24.2,'''"16.5"''','''"42"''','''"10.5"'''
'2013-02-24 12:00:00',22719,23.7,'''"17.9"''','''"54"''','''"13.9"'''
'2013-02-25 12:00:00',22719,23.8,'''"15.3"''','''"36"''','''"7.9"'''
'2013-02-26 12:00:00',22719,23.8,'''"16.4"''','''"43"''','''"10.5"'''
'2013-02-28 12:00:00',22719,22.7,'''"17.2"''','''"55"''','''"13.2"'''
'2013-03-01 12:00:00',22719,20.9,'''"16.5"''','''"62"''','''"13.4"'''
'2013-03-02 12:00:00',22719,22.6,'''"18.8"''','''"68"''','''"16.4"'''
'2013-03-03 12:00:00',22719,22.6,'''"19.1"''','''"70"''','''"16.9"'''
'2013-03-04 12:00:00',22719,21.8,'''"17.6"''','''"64"''','''"14.7"'''
'2013-03-05 12:00:00',22719,23.1,'''"16.4"''','''"47"''','''"11.2"'''
'2013-03-06 12:00:00',22719,21.3,'''"17.8"''','''"69"''','''"15.4"'''
'2013-03-07 12:00:00',22719,25,'''"19"''','''"54"''','''"15.1"'''
'2013-03-08 12:00:00',22719,24.8,'''"19.4"''','''"58"''','''"16"'''
'2013-03-09 12:00:00',22719,24.7,'''"15.7"''','''"34"''','''"7.8"'''
'2013-03-10 12:00:00',22719,25,'''"17.3"''','''"43"''','''"11.6"'''
'2013-03-11 12:00:00',22719,24.4,'''"17.7"''','''"49"''','''"13"'''
'2013-03-12 12:00:00',22719,24.8,'''"17.5"''','''"45"''','''"12.1"'''
'2013-03-13 12:00:00',22719,25.2,'''"19.7"''','''"58"''','''"16.4"'''
'2013-03-14 12:00:00',22719,24.3,'''"19"''','''"58"''','''"15.5"'''
'2013-03-15 12:00:00',22719,23.4,'''"17.1"''','''"50"''','''"12.4"'''
'2013-03-16 12:00:00',22719,22,'''"18.5"''','''"70"''','''"16.3"'''
'2013-03-17 12:00:00',22719,20.5,'''"19.9"''','''"94"''','''"19.5"'''
'2013-03-18 12:00:00',22719,23.5,'''"-"''','''"-"''','''"-"'''
'2013-03-19 12:00:00',22719,19.4,'''"18.4"''','''"90"''','''"17.7"'''
'2013-03-20 12:00:00',22719,20.7,'''"20.4"''','''"97"''','''"20.2"'''
'2013-03-21 12:00:00',22719,20.1,'''"16"''','''"63"''','''"12.8"'''
'2013-03-22 12:00:00',22719,21.5,'''"15.6"''','''"51"''','''"11"'''
'2013-03-23 12:00:00',22719,22.2,'''"16.4"''','''"52"''','''"11.9"'''
'2013-03-24 12:00:00',22719,22.4,'''"16.5"''','''"52"''','''"12.1"'''
'2013-03-25 12:00:00',22719,22.7,'''"16.4"''','''"49"''','''"11.5"'''
'2013-03-26 12:00:00',22719,22.9,'''"-"''','''"-"''','''"-"'''
'2013-03-27 12:00:00',22719,24,'''"-"''','''"-"''','''"-"'''
'2013-03-28 12:00:00',22719,23.6,'''"-"''','''"-"''','''"-"'''
'2013-03-29 12:00:00',22719,22.4,'''"-"''','''"-"''','''"-"'''
'2013-03-30 12:00:00',22719,20.8,'''"-"''','''"-"''','''"-"'''
'2013-03-31 12:00:00',22719,23.7,'''"19.8"''','''"68"''','''"17.4"'''
'2013-04-01 12:00:00',22719,22.5,'''"19"''','''"70"''','''"16.8"'''
'2013-04-02 12:00:00',22719,24,'''"18.4"''','''"56"''','''"14.7"'''
'2013-04-03 12:00:00',22719,22.5,'''"19.2"''','''"72"''','''"17.2"'''
'2013-04-04 12:00:00',22719,18.6,'''"16.1"''','''"76"''','''"14.3"'''
'2013-04-05 12:00:00',22719,19.6,'''"14.7"''','''"56"''','''"10.6"'''
'2013-04-06 12:00:00',22719,18.2,'''"13.4"''','''"55"''','''"9"'''
'2013-04-07 12:00:00',22719,15.7,'''"11.9"''','''"61"''','''"8.2"'''
'2013-04-08 12:00:00',22719,19.3,'''"13.8"''','''"51"''','''"8.9"'''
'2013-04-09 12:00:00',22719,19.6,'''"15.2"''','''"60"''','''"11.6"'''
'2013-04-10 12:00:00',22719,19.7,'''"15.3"''','''"60"''','''"11.7"'''
'2013-04-11 12:00:00',22719,21.4,'''"15"''','''"47"''','''"9.7"'''
'2013-04-12 12:00:00',22719,20.8,'''"16.5"''','''"62"''','''"13.3"'''
'2013-04-13 12:00:00',22719,19.9,'''"15.9"''','''"64"''','''"12.9"'''
'2013-04-14 12:00:00',22719,20.5,'''"15.8"''','''"59"''','''"12.2"'''
'2013-04-15 12:00:00',22719,17.6,'''"15.6"''','''"80"''','''"14.1"'''
'2013-04-16 12:00:00',22719,18.9,'''"17.5"''','''"86"''','''"16.5"'''
'2013-04-17 12:00:00',22719,16.8,'''"15.6"''','''"88"''','''"14.8"'''
'2013-04-18 12:00:00',22719,20.7,'''"17.3"''','''"70"''','''"15"'''
'2013-04-19 12:00:00',22719,19,'''"15.7"''','''"69"''','''"13.2"'''
'2013-04-20 12:00:00',22719,21.8,'''"18.1"''','''"68"''','''"15.6"'''
'2013-04-21 12:00:00',22719,20.3,'''"18"''','''"79"''','''"16.5"'''
'2013-04-22 12:00:00',22719,19.2,'''"16.9"''','''"78"''','''"15.3"'''
'2013-04-23 12:00:00',22719,19.8,'''"15.9"''','''"65"''','''"13.1"'''
'2013-04-24 12:00:00',22719,15.4,'''"14.2"''','''"87"''','''"13.3"'''
'2013-04-25 12:00:00',22719,19.8,'''"15.9"''','''"65"''','''"13.1"'''
'2013-04-26 12:00:00',22719,19.1,'''"15.2"''','''"64"''','''"12.1"'''
'2013-04-27 12:00:00',22719,18.6,'''"16.2"''','''"77"''','''"14.5"'''
'2013-04-28 12:00:00',22719,18.6,'''"16.1"''','''"76"''','''"14.3"'''
'2013-04-29 12:00:00',22719,19.9,'''"16.8"''','''"72"''','''"14.7"'''
'2013-04-30 12:00:00',22719,19.6,'''"17.1"''','''"77"''','''"15.5"'''
'2013-05-01 12:00:00',22719,18.6,'''"14.4"''','''"61"''','''"11"'''
'2013-05-02 12:00:00',22719,19.9,'''"16.4"''','''"68"''','''"13.8"'''
'2013-05-03 12:00:00',22719,19.2,'''"15.9"''','''"69"''','''"13.4"'''
'2013-05-04 12:00:00',22719,14.4,'''"13.5"''','''"90"''','''"12.8"'''
'2013-05-05 12:00:00',22719,16.7,'''"14.8"''','''"80"''','''"13.2"'''
'2013-05-06 12:00:00',22719,11.9,'''"11.2"''','''"91"''','''"10.5"'''
'2013-05-07 12:00:00',22719,17.8,'''"13.5"''','''"59"''','''"9.7"'''
'2013-05-08 12:00:00',22719,14.3,'''"12.6"''','''"81"''','''"11.1"'''
'2013-05-09 12:00:00',22719,13.5,'''"12.7"''','''"91"''','''"12.1"'''
'2013-05-10 12:00:00',22719,15.3,'''"13.6"''','''"82"''','''"12.3"'''
'2013-05-11 12:00:00',22719,14.4,'''"10.8"''','''"61"''','''"7"'''
'2013-05-12 12:00:00',22719,16.2,'''"12.5"''','''"63"''','''"9.2"'''
'2013-05-13 12:00:00',22719,16.8,'''"14.3"''','''"75"''','''"12.4"'''
'2013-05-14 12:00:00',22719,17.1,'''"14.8"''','''"77"''','''"13"'''
'2013-05-15 12:00:00',22719,15.5,'''"14.2"''','''"86"''','''"13.2"'''
'2013-05-16 12:00:00',22719,19.4,'''"15.9"''','''"68"''','''"13.4"'''
'2013-05-17 12:00:00',22719,16.2,'''"15.1"''','''"88"''','''"14.2"'''
'2013-05-18 12:00:00',22719,18.7,'''"16.2"''','''"76"''','''"14.4"'''
'2013-05-19 12:00:00',22719,17.4,'''"14.8"''','''"74"''','''"12.7"'''
'2013-05-20 12:00:00',22719,18.3,'''"14.6"''','''"65"''','''"11.6"'''
'2013-05-21 12:00:00',22719,17.9,'''"14.3"''','''"65"''','''"11.3"'''
'2013-05-22 12:00:00',22719,14.7,'''"13"''','''"81"''','''"11.5"'''
'2013-05-23 12:00:00',22719,15.5,'''"13.8"''','''"82"''','''"12.5"'''
'2013-05-24 12:00:00',22719,16.8,'''"13.2"''','''"64"''','''"10"'''
'2013-05-25 12:00:00',22719,14.9,'''"13.1"''','''"80"''','''"11.5"'''
'2013-05-26 12:00:00',22719,17.3,'''"14.7"''','''"74"''','''"12.6"'''
'2013-05-27 12:00:00',22719,17.4,'''"13.4"''','''"61"''','''"9.8"'''
'2013-05-28 12:00:00',22719,7.2,'''"6.2"''','''"86"''','''"5"'''
'2013-05-29 12:00:00',22719,13,'''"8.5"''','''"50"''','''"2.9"'''
'2013-05-30 12:00:00',22719,15.1,'''"12.6"''','''"73"''','''"10.3"'''
'2013-05-31 12:00:00',22719,14,'''"12.1"''','''"79"''','''"10.4"'''
'2013-06-01 12:00:00',22719,15.6,'''"12.3"''','''"66"''','''"9.3"'''
'2013-06-02 12:00:00',22719,16.2,'''"11.7"''','''"55"''','''"7.2"'''
'2013-06-03 12:00:00',22719,14.2,'''"10.6"''','''"61"''','''"6.8"'''
'2013-06-04 12:00:00',22719,13.2,'''"12.5"''','''"92"''','''"11.9"'''
'2013-06-05 12:00:00',22719,15,'''"13.1"''','''"79"''','''"11.4"'''
'2013-06-06 12:00:00',22719,14.1,'''"9.9"''','''"55"''','''"5.2"'''
'2013-06-07 12:00:00',22719,13.5,'''"11.4"''','''"76"''','''"9.4"'''
'2013-06-08 12:00:00',22719,15.9,'''"12"''','''"60"''','''"8.2"'''
'2013-06-09 12:00:00',22719,11.7,'''"11.1"''','''"92"''','''"10.4"'''
'2013-06-10 12:00:00',22719,12.3,'''"10.4"''','''"78"''','''"8.6"'''
'2013-06-11 12:00:00',22719,15.1,'''"13.3"''','''"80"''','''"11.7"'''
'2013-06-12 12:00:00',22719,15.4,'''"13.6"''','''"81"''','''"12.2"'''
'2013-06-13 12:00:00',22719,15.1,'''"12.7"''','''"74"''','''"10.5"'''
'2013-06-14 12:00:00',22719,13.3,'''"12.5"''','''"91"''','''"11.9"'''
'2013-06-15 12:00:00',22719,13.9,'''"12.2"''','''"81"''','''"10.7"'''
'2013-06-16 12:00:00',22719,13.9,'''"13"''','''"90"''','''"12.3"'''
'2013-06-17 12:00:00',22719,16.8,'''"15"''','''"82"''','''"13.7"'''
'2013-06-18 12:00:00',22719,18.2,'''"15.3"''','''"72"''','''"13.1"'''
'2013-06-19 12:00:00',22719,11.5,'''"10.8"''','''"91"''','''"10.1"'''
'2013-06-20 12:00:00',22719,10,'''"7.8"''','''"72"''','''"5.2"'''
'2013-06-21 12:00:00',22719,12.7,'''"9.2"''','''"60"''','''"5.2"'''
'2013-06-22 12:00:00',22719,13.1,'''"9.6"''','''"61"''','''"5.8"'''
'2013-06-23 12:00:00',22719,8.7,'''"7.8"''','''"88"''','''"6.8"'''
'2013-06-24 12:00:00',22719,12.2,'''"10.9"''','''"84"''','''"9.6"'''
'2013-06-25 12:00:00',22719,14.6,'''"11.7"''','''"69"''','''"9"'''
'2013-06-26 12:00:00',22719,13.2,'''"11.1"''','''"76"''','''"9.1"'''
'2013-06-27 12:00:00',22719,11,'''"9.2"''','''"78"''','''"7.3"'''
'2013-06-28 12:00:00',22719,12.3,'''"8.5"''','''"56"''','''"3.8"'''
'2013-06-29 12:00:00',22719,11.8,'''"9.3"''','''"70"''','''"6.5"'''
'2013-06-30 12:00:00',22719,12.2,'''"10.3"''','''"77"''','''"8.3"'''
'2013-07-01 12:00:00',22719,14.6,'''"11"''','''"62"''','''"7.4"'''
'2013-07-02 12:00:00',22719,15.1,'''"11.3"''','''"60"''','''"7.4"'''
'2013-07-03 12:00:00',22719,12.8,'''"11.5"''','''"85"''','''"10.4"'''
'2013-07-04 12:00:00',22719,15.2,'''"13.3"''','''"80"''','''"11.8"'''
'2013-07-05 12:00:00',22719,14.7,'''"13.1"''','''"82"''','''"11.7"'''
'2013-07-06 12:00:00',22719,16.3,'''"12.7"''','''"64"''','''"9.5"'''
'2013-07-07 12:00:00',22719,16.4,'''"13.2"''','''"68"''','''"10.5"'''
'2013-07-08 12:00:00',22719,14.1,'''"10.5"''','''"61"''','''"6.7"'''
'2013-07-09 12:00:00',22719,12.2,'''"9.6"''','''"69"''','''"6.7"'''
'2013-07-10 12:00:00',22719,11.6,'''"9.3"''','''"72"''','''"6.7"'''
'2013-07-11 12:00:00',22719,9.4,'''"7.6"''','''"76"''','''"5.4"'''
'2013-07-12 12:00:00',22719,13,'''"10"''','''"66"''','''"6.8"'''
'2013-07-13 12:00:00',22719,13,'''"10.8"''','''"75"''','''"8.7"'''
